,b1,b2,error,s,significance,vor_point,vor_region,total_sig,lag_sig,update,vor_label
709,0.000271809723927,0.0,0.15,0.000683689024299,0.00286216647649,606,56,2.49228900814,2.49228782363,1.0,113
710,0.00461263358011,0.106138989329,0.239669322249,0.00116544275079,0.00283510133512,524,545,2.49228900814,2.49228900814,0.0,114
711,0.000211108461372,0.0,0.15,0.000739822455216,0.00280540072214,818,193,2.49229011374,2.49228900814,1.0,114
712,0.0073723452515,0.0,0.15,0.000491877144668,0.00279226656734,2,930,2.49229011374,2.49229011374,0.0,115
713,0.000135398324346,0.0,0.15,0.000924306164961,0.00278252431396,880,619,2.49229909171,2.49229011374,1.0,115
714,0.00113459747808,0.0,0.15,0.00047828789684,0.00276446509002,600,681,2.49230311998,2.49229909171,1.0,115
715,0.00011315154552,0.0,0.15,0.00102020043414,0.00275963764783,257,339,2.49231518937,2.49230311998,1.0,115
716,0.0,0.00709189288318,0.25,0.000742401287425,0.00272609128463,5,935,2.49231518937,2.49231518937,0.0,116
717,0.000116674083984,0.0,0.15,0.00092403794406,0.00262932755221,728,493,2.4923195072,2.49231518937,1.0,116
718,0.00335141872574,0.0,0.15,0.000434118235717,0.00259811176378,324,310,2.49232495336,2.4923195072,1.0,116
719,7.69606922404e-05,0.0,0.15,0.00119797210209,0.00258922789631,533,304,2.49233224063,2.49232495336,1.0,116
720,0.00014094049402,0.0,0.15,0.000798116612714,0.00257363712511,398,555,2.4923355689,2.49233224063,1.0,116
721,0.0001423661015,0.00628438172862,0.244484550969,0.000675147690345,0.00254139244707,378,556,2.4923355689,2.4923355689,0.0,117
722,0.000108256921521,0.0,0.15,0.000910415838007,0.00253114491488,653,526,2.49233979623,2.4923355689,1.0,117
723,0.000135554480948,0.0,0.15,0.000772109837271,0.00248472298581,564,564,2.49234581144,2.49233979623,1.0,117
724,0.000221798283746,0.0,0.15,0.000592599564698,0.0024400974687,776,918,2.49234993763,2.49234581144,1.0,117
725,7.19795498298e-05,0.0,0.15,0.00112333253492,0.00242538539891,389,808,2.49235818093,2.49234993763,1.0,117
726,0.000218954097363,0.0484666060656,0.248876586562,0.000809089862742,0.00242216659755,145,263,2.49235818093,2.49235818093,0.0,118
727,0.00549806427443,0.0489274561405,0.225255259641,0.000770639861003,0.00236811402415,171,327,2.4923590072,2.49235818093,1.0,118
728,0.00135064322967,0.0,0.15,0.000397470663302,0.00236260097054,278,474,2.49235964713,2.4923590072,1.0,118
729,0.000864847796038,0.0,0.15,0.00040010153316,0.0023015559091,473,861,2.49235964713,2.49235964713,0.0,119
730,0.0158540011616,0.0,0.15,0.000448548147688,0.00227345136292,188,22,2.4923611364,2.49235964713,1.0,119
731,0.000130799118779,0.0,0.15,0.000680285855196,0.00226169808019,682,279,2.49236933857,2.4923611364,1.0,119
732,0.000159141578479,0.0,0.15,0.000601041945629,0.00222672061652,374,807,2.49238130044,2.49236933857,1.0,119
733,0.00668461597524,0.139373853803,0.23865707882,0.000972895184532,0.00215618076262,276,258,2.49238130044,2.49238130044,0.0,120
734,0.00575278980249,0.130631998181,0.23953842973,0.000945738167502,0.00214528927371,205,443,2.49238161331,2.49238130044,1.0,120
735,0.00166706659365,0.0,0.15,0.000351081078406,0.00212124058982,659,896,2.49238161331,2.49238161331,0.0,121
736,0.000145255122334,0.0,0.15,0.000569998868741,0.00208589575241,899,781,2.49238515923,2.49238161331,1.0,121
737,0.00815115042496,0.0,0.15,0.00036966096377,0.00208439642794,40,656,2.49238822855,2.49238515923,1.0,121
738,0.00196348270401,0.0659554451704,0.242811421852,0.000736283021979,0.00206162323325,169,111,2.49238822855,2.49238822855,0.0,122
739,0.00203565556149,0.0,0.15,0.000332662835717,0.00202202372175,111,248,2.49238836763,2.49238822855,1.0,122
740,0.0052108259406,0.0,0.15,0.000331788614858,0.00195605500171,657,123,2.49238836763,2.49238836763,0.0,123
741,0.00544314959552,0.0,0.15,0.000329201633576,0.00193462563372,429,814,2.4923894046,2.49238836763,1.0,123
742,0.00116965989582,0.0,0.15,0.000315217475872,0.00189269154398,624,54,2.49239149022,2.4923894046,1.0,123
743,0.0141008508072,0.0,0.15,0.000333113159286,0.0017302446746,143,649,2.49239149022,2.49239149022,0.0,124
744,0.00213607307523,0.0,0.15,0.000256859901128,0.0015776323805,270,629,2.49239215914,2.49239149022,1.0,124
745,1.33373559947e-05,0.0,0.15,0.00215769652277,0.00157377487914,298,632,2.49241843066,2.49239215914,1.0,124
746,0.0059429674775,0.0,0.15,0.000262117449893,0.00153420455406,14,48,2.49241843066,2.49241843066,0.0,125
747,3.983305578e-05,0.0,0.15,0.000785647658631,0.00153358791456,727,486,2.49242449551,2.49241843066,1.0,125
748,0.00189580162987,0.0,0.15,0.000247397169005,0.00152217365954,584,840,2.49242585177,2.49242449551,1.0,125
749,0.00308746448718,0.0,0.15,0.000243389542447,0.00148553391615,273,259,2.49242594079,2.49242585177,1.0,125
750,0.00867489423399,0.0,0.15,0.00025907161762,0.00145490753615,435,561,2.49242594079,2.49242594079,0.0,126
751,0.0,0.0155100515112,0.25,0.000405540631618,0.00144073277474,929,81,2.49242675513,2.49242594079,1.0,126
752,0.00941065832739,0.0,0.15,0.000251934339758,0.00139973867841,244,252,2.49242807194,2.49242675513,1.0,126
753,0.0104288847651,0.0129726561718,0.153867178319,0.000299616542179,0.00137649974484,51,144,2.49242826028,2.49242807194,1.0,126
754,0.00602295517456,0.0,0.15,0.000228376302402,0.00133725040812,614,695,2.49242826028,2.49242826028,0.0,127
755,0.0019984915707,0.0,0.15,0.000213489824091,0.00131999264668,689,77,2.49242879579,2.49242826028,1.0,127
756,0.00163099297788,0.0,0.15,0.000211789403693,0.00131020274545,240,879,2.49242951744,2.49242879579,1.0,127
757,0.00350663741119,0.0,0.15,0.000211388221942,0.00128702002061,228,251,2.49242982717,2.49242951744,1.0,127
